index,col_0,col_1,col_2,col_3,col_4
1,1,1.376635,1.411912,0.9013601,0.8502237
2,2,1.667475,1.600058,1.079227,1.015237
3,3,2.024538,1.818824,1.295658,1.215253
4,4,2.464305,2.074785,1.559955,1.458502
5,5,3.009595,2.377229,1.884951,1.756257
6,6,3.690622,2.738325,2.287453,2.123064
7,7,4.523999,3.162374,2.775698,2.565108
8,8,5.558527,3.669694,3.375951,3.103933
9,9,6.849343,4.282452,4.116265,3.760611
10,10,8.451274,5.022497,5.021345,4.549632
11,11,10.36036,5.886791,6.078422,5.448083
12,12,12.74364,6.953247,7.360541,6.497121
13,13,15.73422,8.291538,8.900073,7.684144
14,14,19.25096,9.893172,10.59273,8.875441
15,15,23.2918,11.814,12.34967,9.952369
16,16,27.74094,14.10481,14.00631,10.769
17,17,32.32486,16.80695,15.34412,11.20813
18,18,36.93842,20.24542,16.19466,11.2209
19,19,40.16553,23.8141,16.29634,10.88193
20,20,41.81532,27.55892,15.81034,10.36199
21,21,41.59949,31.57296,14.83451,9.752485
22,22,39.63074,34.92568,13.71461,9.2452
23,23,36.26049,37.4413,12.55135,8.862862
24,24,32.68258,38.45085,11.64459,8.68566
25,25,28.76137,38.09124,10.88443,8.689135
26,26,25.36341,36.5725,10.41316,8.890851
27,27,22.65531,34.51852,10.20645,9.26313
28,28,20.40681,32.19484,10.23873,9.851778
29,29,18.88825,30.25118,10.49536,10.58498
30,30,17.89181,28.72559,10.97191,11.51461
31,31,17.41208,27.78373,11.62415,12.58216
32,32,17.36194,27.35632,12.53258,13.92939
33,33,17.69948,27.47607,13.55613,15.36086
34,34,18.44346,28.12108,14.87119,17.1345
35,35,19.49161,29.19447,16.32765,19.05403
36,36,20.85241,30.68044,17.98972,21.21428
37,37,22.62689,32.6785,19.98978,23.79183
38,38,24.63721,34.97326,22.14298,26.5541
39,39,26.96279,37.63859,24.55446,29.64208
40,40,29.85264,40.94475,27.48543,33.39531
41,41,32.84035,44.34388,30.47237,37.22527
42,42,36.21688,48.15549,33.818,41.52433
43,43,40.10906,52.50689,37.65235,46.46512
44,44,44.53091,57.39565,41.99326,52.07714
45,45,49.61998,62.95305,46.9801,58.54814
46,46,54.923,68.67071,52.17352,65.31322
47,47,61.09059,75.23395,58.21514,73.2145
48,48,67.76656,82.24264,64.76023,81.80948
49,49,75.39918,90.14572,72.25262,91.6898
50,50,83.59611,98.51561,80.31143,102.3621
51,51,93.28239,108.2659,89.85151,115.051
52,52,103.8247,118.7238,100.2552,128.95
53,53,115.1394,129.7887,111.4438,143.9623
54,54,127.9707,142.1591,124.1586,161.0962
55,55,142.3044,155.7793,138.393,180.3621
56,56,158.6473,171.0817,154.6591,202.476
57,57,176.3384,187.4048,172.3071,226.5753
58,58,196.0986,205.3736,192.0637,253.673
59,59,218.2847,225.2545,214.2965,
60,60,243.0118,247.088,239.1332,
